Age,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,JobLevel,WorkLifeBalance,YearsSinceLastPromotion,PreviousWorkExperience,Attrition
30,19019,5,1,No,3,1,2,2,No
58,15417,6,1,No,3,4,2,12,No
54,10311,3,4,No,1,1,3,13,No
45,19214,8,4,No,1,1,0,9,No
36,16098,13,2,Yes,1,4,1,10,No
53,7177,1,4,Yes,1,2,8,1,No
53,16262,6,3,Yes,3,2,9,8,No
45,10308,4,4,No,3,4,1,9,Yes
33,7949,1,3,Yes,2,3,4,8,No
23,3150,7,2,No,2,1,8,0,Yes
24,3931,9,2,No,1,4,8,9,No
58,11204,13,2,Yes,4,1,7,2,No
38,3081,4,2,Yes,4,3,0,7,Yes
23,18896,4,2,Yes,3,1,0,5,No
23,15407,6,3,No,3,4,8,4,No
49,9805,12,3,Yes,3,1,7,4,No
44,7237,3,2,No,2,2,9,5,No
58,18943,13,4,Yes,2,3,8,14,Yes
53,14775,12,1,No,3,3,6,6,No
54,18244,6,2,No,3,3,2,0,No
22,15184,7,4,Yes,3,4,2,8,Yes
40,5343,11,1,No,4,3,1,2,No
23,15500,10,2,No,2,2,4,3,Yes
47,11662,10,2,Yes,4,4,2,9,Yes
53,18964,3,3,No,4,2,5,0,No
27,17125,7,1,Yes,3,1,1,12,Yes
53,10130,14,1,No,3,1,2,10,No
25,3679,3,4,Yes,1,1,4,9,No
32,5506,13,3,Yes,1,1,0,2,No
38,15284,13,3,No,4,2,0,1,No
59,9253,2,3,No,2,4,9,1,Yes
45,11435,12,3,No,3,4,8,13,Yes
26,13310,14,1,No,3,3,6,0,No
55,15296,10,1,No,4,2,0,7,No
27,15245,4,2,Yes,1,1,7,2,Yes
43,13151,12,2,No,2,2,2,2,No
32,12457,8,3,Yes,1,3,7,5,Yes
37,4479,13,3,Yes,1,3,4,12,No
54,6452,9,3,No,1,2,0,7,No
30,7881,7,2,Yes,1,2,6,12,No
27,16069,1,4,Yes,3,2,4,14,No
37,4849,3,4,Yes,3,4,5,8,No
50,9390,13,2,Yes,1,1,5,8,No
24,13922,12,2,No,2,2,7,3,No
41,4489,14,2,Yes,4,2,8,13,Yes
57,11823,9,2,No,2,2,1,4,No
40,11207,12,2,No,2,3,8,1,No
47,11540,1,2,Yes,2,3,9,10,No
24,18364,9,3,No,1,4,8,8,No
40,6611,8,3,No,3,1,9,7,No
41,7878,1,3,No,2,4,9,2,No
53,18347,6,3,Yes,1,1,6,10,No
28,2851,5,2,No,2,3,0,11,Yes
54,8833,6,4,No,2,3,6,12,Yes
